ID,x,y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
1,520650,4048890,0.276241526,0.275929421,0.275617317,0.275305212,0.274993124,0.274681776,0.274370427,0.274059079,0.273747804,0.273438149,0.273128494,0.272818839,0.272509408,0.272203189,0.271896969,0.271590749,0.271284941,0.27098345,0.270681959,0.270380468,0.270079637,0.269784219,0.2694888,0.269193381,0.268898871,0.268610419,0.268321968,0.268033517,0.267746175,0.267465018,0.267183861,0.266902704,0.266623112,0.266350952,0.266078793,0.265806633,0.26553678,0.265276407,0.265016034,0.264755661,0.264498339,0.264252001,0.264005662,0.263759324,0.26351648,0.263284752,0.263053024,0.262821296,0.262594027,0.262379393,0.262164758,0.261950124,0.261740633,0.261544199,0.261347765,0.261151331,0.260961612,0.260787241,0.260612871,0.260438501,0.260272477,0.260123703,0.259974929,0.259826155,0.259688335,0.259571055,0.259453774,0.259336494,0.259235763,0.259163263,0.259090763,0.259018263,0.258969227,0.25895669,0.258944152,0.258931615,0.258947996,0.259005471,0.259062947,0.259120422,0.259208394,0.25933601,0.259463627,0.259591243,0.259751157,0.259949519,0.260147882,0.260346245,0.260577954,0.26084604,0.261114127,0.261382213,0.261682562,0.262015175,0.262347787,0.262680399,0.263041694,0.263429281,0.263816869,0.264204456,0.264617656,0.265052372,0.265487088,0.265921803,0.266381786,0.266861204,0.267340623,0.267820041,0.268322863,0.268842155,0.269361447,0.269880739,0.270425829,0.270987505,0.27154918,0.272110856,0.272704104,0.27331586,0.273927616,0.274539372,0.275177494,0.275829677,0.27648186,0.277134044,0.277804759,0.278484442,0.279164124,0.279843807,0.280538218,0.281239074,0.28193993,0.282640786,0.283353497,0.284070879,0.284788261,0.285505642,0.286230888,0.28695891,0.287686932,0.288414953,0.289145389,0.289876582,0.290607776,0.29133897,0.292064758,0.292789045,0.293513331,0.294237618,0.294946667,0.29565201,0.296357353,0.297062696,0.297747609,0.298428221,0.299108833,0.299789445,0.300450535,0.301108119,0.301765704,0.302423289,0.303066238,0.303706991,0.304347744,0.304988497,0.305620729,0.306251922,0.306883114,0.307514307,0.308142735,0.308770899,0.309399063,0.310027227,0.310654672,0.311282066,0.31190946,0.312536855,0.313164283,0.313791714,0.314419144,0.315046574,0.31567372,0.316300859,0.316927998,0.317555137
2,520680,4048890,0.271272796,0.271412373,0.271551951,0.271691528,0.271831108,0.271970794,0.27211048,0.272250166,0.272389864,0.272529823,0.272669783,0.272809742,0.272949739,0.273090273,0.273230806,0.273371339,0.27351195,0.273653375,0.273794799,0.273936224,0.274077787,0.274220482,0.274363177,0.274505872,0.274648788,0.274793173,0.274937557,0.275081942,0.275226646,0.275373131,0.275519616,0.275666101,0.275813041,0.275962138,0.276111235,0.276260333,0.276410047,0.276562296,0.276714545,0.276866795,0.27701983,0.277175695,0.277331561,0.277487426,0.277644241,0.277804081,0.27796392,0.278123759,0.278284758,0.278449044,0.27861333,0.278777615,0.278943267,0.279112388,0.279281508,0.279450629,0.279621377,0.279795847,0.279970316,0.280144786,0.280321138,0.280501381,0.280681624,0.280861867,0.281044291,0.281230805,0.281417318,0.281603832,0.281793013,0.281986745,0.282180478,0.28237421,0.282571182,0.282773192,0.282975203,0.283177213,0.283382922,0.283593886,0.283804851,0.284015815,0.284230713,0.284450725,0.284670736,0.284890748,0.285114966,0.285344191,0.285573416,0.285802641,0.286036379,0.28627504,0.286513702,0.286752363,0.286995689,0.287243679,0.28749167,0.287739661,0.28799233,0.288249288,0.288506245,0.288763203,0.289024836,0.289290395,0.289555954,0.289821513,0.290091907,0.29036602,0.290640132,0.290914245,0.291193319,0.291475885,0.291758451,0.292041016,0.292328868,0.292620116,0.292911365,0.293202614,0.293499629,0.293800023,0.294100417,0.294400811,0.294706668,0.295015439,0.29532421,0.295632981,0.295946682,0.296262768,0.296578855,0.296894941,0.297215607,0.297538277,0.297860948,0.298183618,0.298510493,0.298839024,0.299167556,0.299496088,0.299828365,0.300161963,0.300495562,0.300829161,0.301165931,0.301503699,0.301841466,0.302179234,0.302519366,0.302860154,0.303200942,0.303541731,0.303883863,0.304226323,0.304568783,0.304911243,0.305254333,0.305597555,0.305940778,0.306284001,0.306627581,0.306971226,0.307314871,0.307658515,0.308002506,0.308346547,0.308690589,0.309034631,0.30937911,0.309723642,0.310068174,0.310412706,0.310757754,0.311102852,0.31144795,0.311793048,0.312138548,0.312484076,0.312829604,0.313175132,0.313520877,0.313866633,0.314212388,0.314558143,0.314903945,0.315249748,0.315595551,0.315941355
3,520620,4048860,0.287764825,0.287581243,0.287397661,0.287214079,0.287030364,0.286840641,0.286650918,0.286461195,0.286270723,0.286063771,0.28585682,0.285649868,0.285442032,0.285221516,0.285001,0.284780484,0.284558151,0.284316737,0.284075323,0.283833909,0.283588647,0.283311828,0.28303501,0.282758191,0.282474441,0.282144481,0.281814521,0.281484561,0.28114267,0.280734299,0.280325928,0.279917558,0.279493464,0.278994683,0.278495902,0.277997122,0.27747993,0.276887047,0.276294164,0.275701282,0.275084118,0.274379546,0.273674974,0.272970402,0.272227222,0.271361202,0.270495181,0.269629161,0.26871585,0.267668551,0.266621253,0.265573954,0.26445193,0.26314022,0.261828509,0.260516799,0.259118435,0.257522007,0.255925578,0.254329149,0.25263718,0.250747759,0.248858338,0.246968917,0.245004169,0.242898183,0.240792197,0.238686211,0.236600685,0.234550063,0.232499442,0.23044882,0.228549026,0.226883852,0.225218677,0.223553503,0.22214071,0.221086562,0.220032415,0.218978267,0.218193098,0.217757601,0.217322103,0.216886606,0.21673144,0.216910002,0.217088564,0.217267126,0.217712528,0.218449028,0.219185528,0.219922028,0.220874214,0.222042085,0.223209957,0.224377828,0.225657498,0.227039649,0.228421801,0.229803952,0.231207101,0.232627887,0.234048674,0.235469461,0.236899153,0.238335695,0.239772237,0.241208779,0.24261425,0.243997857,0.245381464,0.246765071,0.248145903,0.249524953,0.250904002,0.252283051,0.253798908,0.255394964,0.25699102,0.258587075,0.260271747,0.26200368,0.263735613,0.265467547,0.267216536,0.268973778,0.27073102,0.272488262,0.274253852,0.276023094,0.277792337,0.279561579,0.28134792,0.283140997,0.284934075,0.286727152,0.288536598,0.290351821,0.292167045,0.293982268,0.295787021,0.297588484,0.299389946,0.301191408,0.302908724,0.304602665,0.306296606,0.307990548,0.309460155,0.310875195,0.312290235,0.313705275,0.314831257,0.315896384,0.316961512,0.31802664,0.318854231,0.319639187,0.320424142,0.321209098,0.321845258,0.322459098,0.323072938,0.323686778,0.324244657,0.324795711,0.325346765,0.325897819,0.326447333,0.326996701,0.327546068,0.328095436,0.328607586,0.32911714,0.329626693,0.330136247,0.330622655,0.331108011,0.331593367,0.332078722,0.33254905,0.333019043,0.333489037,0.33395903
4,520650,4048860,0.303352307,0.30174,0.300127694,0.298515388,0.296910913,0.295658846,0.294406779,0.293154713,0.291891117,0.290373899,0.28885668,0.287339462,0.285826735,0.284378388,0.282930041,0.281481695,0.280098326,0.279397232,0.278696138,0.277995045,0.277320941,0.276868153,0.276415366,0.275962579,0.27557097,0.275587214,0.275603458,0.275619702,0.275466825,0.274371704,0.273276583,0.272181463,0.27095565,0.269109054,0.267262458,0.265415862,0.2637027,0.262538101,0.261373502,0.260208903,0.259396581,0.259852457,0.260308333,0.260764209,0.261409165,0.26265574,0.263902314,0.265148888,0.267057875,0.270843698,0.274629521,0.278415344,0.282141764,0.285717392,0.289293021,0.292868649,0.296146462,0.298743555,0.301340647,0.30393774,0.304929443,0.302603342,0.300277242,0.297951141,0.292695342,0.28194636,0.271197379,0.260448397,0.248243577,0.233555268,0.218866959,0.20417865,0.19107716,0.180444056,0.169810952,0.159177848,0.151428999,0.147778829,0.144128658,0.140478488,0.138524368,0.138775116,0.139025864,0.139276611,0.141391897,0.14572687,0.150061843,0.154396816,0.159707121,0.166081423,0.172455725,0.178830028,0.185561685,0.192650696,0.199739708,0.20682872,0.212728171,0.21753719,0.22234621,0.22715523,0.229804839,0.230640542,0.231476246,0.23231195,0.232735288,0.232841423,0.232947558,0.233053693,0.231311708,0.228269194,0.22522668,0.222184166,0.217882009,0.212770082,0.207658154,0.202546226,0.202104362,0.20440012,0.206695879,0.208991637,0.213245313,0.218543211,0.223841109,0.229139006,0.233088561,0.236385691,0.239682822,0.242979952,0.2445969,0.245478768,0.246360636,0.247242503,0.247380716,0.247225974,0.247071232,0.246916491,0.248082664,0.249715043,0.251347422,0.252979802,0.256773166,0.261245696,0.265718227,0.270190757,0.276400012,0.283091691,0.28978337,0.296475049,0.300772684,0.304487984,0.308203285,0.311918585,0.312033509,0.311390458,0.310747408,0.310104357,0.307702495,0.304984949,0.302267403,0.299549857,0.297646368,0.295864988,0.294083607,0.292302226,0.292900005,0.293787926,0.294675846,0.295563767,0.298248354,0.301104053,0.303959751,0.30681545,0.308116826,0.309309761,0.310502696,0.31169563,0.312618208,0.313528497,0.314438786,0.315349074,0.316071718,0.316790191,0.317508664,0.318227138
5,520680,4048860,0.325649103,0.32490579,0.324162477,0.323419164,0.322676523,0.321964144,0.321251764,0.320539384,0.319829394,0.319171996,0.318514597,0.317857198,0.31720235,0.316584062,0.315965773,0.315347485,0.314730685,0.314129515,0.313528345,0.312927175,0.3123254,0.311718665,0.311111929,0.310505194,0.309896544,0.309275125,0.308653707,0.308032288,0.307405902,0.30675184,0.306097778,0.305443715,0.304785079,0.304104717,0.303424356,0.302743994,0.302063379,0.301381724,0.300700069,0.300018414,0.299331822,0.298627456,0.297923089,0.297218722,0.296483037,0.295647698,0.29481236,0.293977022,0.293093059,0.292071324,0.29104959,0.290027856,0.28892017,0.287594301,0.286268432,0.284942563,0.283505816,0.281815634,0.280125451,0.278435268,0.276607946,0.274497205,0.272386464,0.270275723,0.268038316,0.265563409,0.263088503,0.260613596,0.258134997,0.2556501,0.253165203,0.250680306,0.248371344,0.246336061,0.244300777,0.242265493,0.240528416,0.239215106,0.237901795,0.236588484,0.23557207,0.234941622,0.234311173,0.233680725,0.23335485,0.233391565,0.233428279,0.233464994,0.233802637,0.234468567,0.235134498,0.235800428,0.236707482,0.237855662,0.239003841,0.24015202,0.241417442,0.242790336,0.244163231,0.245536125,0.24691353,0.248294725,0.24967592,0.251057115,0.252417177,0.253760983,0.255104789,0.256448595,0.257709664,0.25891251,0.260115355,0.261318201,0.262497517,0.263661705,0.264825893,0.265990081,0.267356433,0.268841294,0.270326155,0.271811017,0.273429486,0.275119212,0.276808939,0.278498665,0.280204099,0.281917132,0.283630166,0.285343199,0.287033459,0.288713756,0.290394052,0.292074349,0.293738178,0.295395521,0.297052864,0.298710207,0.300385903,0.302068078,0.303750252,0.305432426,0.307129581,0.308831445,0.310533309,0.312235172,0.313881995,0.315513528,0.317145062,0.318776595,0.320180525,0.321529092,0.322877659,0.324226225,0.325245404,0.326195238,0.327145072,0.328094907,0.328766765,0.329388731,0.330010697,0.330632663,0.331082969,0.331507527,0.331932084,0.332356641,0.332738009,0.333114109,0.333490209,0.333866309,0.33429212,0.334722666,0.335153212,0.335583758,0.336027173,0.336471486,0.336915799,0.337360112,0.337837932,0.338317274,0.338796616,0.339275959,0.339775233,0.34027495,0.340774667,0.341274384
6,520590,4048830,0.283398133,0.283042105,0.282686077,0.282330049,0.281974055,0.281619596,0.281265137,0.280910678,0.280556391,0.280205896,0.2798554,0.279504905,0.279154869,0.278811417,0.278467964,0.278124512,0.277781949,0.277448726,0.277115503,0.27678228,0.276450519,0.276130746,0.275810973,0.2754912,0.275173354,0.274868358,0.274563362,0.274258365,0.273955693,0.273665967,0.273376241,0.273086516,0.272799753,0.272527065,0.272254377,0.27198169,0.271712824,0.271459668,0.271206513,0.270953358,0.270704981,0.270473803,0.270242625,0.270011448,0.26978591,0.269578317,0.269370725,0.269163132,0.268962306,0.268780653,0.268598999,0.268417346,0.268243384,0.268088947,0.26793451,0.267780073,0.267634879,0.267510813,0.267386746,0.26726268,0.267149212,0.267057644,0.266966077,0.26687451,0.266795282,0.26673919,0.266683098,0.266627006,0.266587327,0.266575646,0.266563966,0.266552286,0.266562174,0.266605613,0.266649052,0.266692491,0.266761778,0.266867797,0.266973816,0.267079834,0.26721372,0.267383833,0.267553946,0.267724059,0.267924284,0.268160357,0.268396431,0.268632504,0.268901556,0.269206584,0.269511613,0.269816642,0.270156222,0.270530353,0.270904485,0.271278617,0.271686202,0.272124452,0.272562703,0.273000953,0.273470486,0.273966295,0.274462104,0.274957913,0.275484139,0.276033762,0.276583385,0.277133008,0.277710331,0.278307147,0.278903962,0.279500778,0.280124702,0.280766053,0.281407404,0.282048755,0.282720655,0.283410462,0.284100269,0.284790076,0.28550471,0.286232584,0.286960459,0.287688334,0.288434053,0.289188407,0.28994276,0.290697114,0.291464343,0.292237206,0.293010069,0.293782933,0.294565101,0.295350936,0.296136771,0.296922605,0.297714104,0.298507603,0.299301101,0.3000946,0.300888907,0.301683469,0.302478031,0.303272592,0.304061218,0.304848195,0.305635172,0.306422149,0.307194017,0.307962211,0.308730405,0.309498598,0.310246271,0.310989622,0.311732974,0.312476326,0.31319972,0.313919532,0.314639344,0.315359155,0.316062415,0.316763192,0.317463968,0.318164745,0.318853913,0.319541666,0.320229419,0.320917172,0.321598882,0.322280016,0.32296115,0.323642285,0.324318779,0.32499495,0.32567112,0.326347291,0.32702162,0.327695865,0.32837011,0.329044355,0.329717434,0.330390488,0.331063541,0.331736595
7,520620,4048830,0.285108102,0.284760177,0.284412253,0.284064328,0.283716862,0.283390031,0.2830632,0.282736369,0.282411211,0.282122884,0.281834556,0.281546228,0.281263045,0.281053595,0.280844146,0.280634696,0.280433272,0.280316108,0.280198944,0.280081781,0.279969362,0.279895852,0.279822341,0.279748831,0.279676909,0.279615574,0.279554239,0.279492904,0.279421534,0.279294254,0.279166975,0.279039695,0.278897566,0.278684901,0.278472236,0.278259571,0.278039014,0.27778601,0.277533006,0.277280003,0.277013986,0.276701123,0.276388259,0.276075396,0.275715189,0.275204342,0.274693495,0.274182648,0.273604216,0.272834292,0.272064368,0.271294444,0.270387603,0.269133206,0.267878809,0.266624412,0.265193219,0.263357921,0.261522623,0.259687325,0.257595287,0.254972654,0.252350022,0.249727389,0.246816653,0.243365722,0.239914792,0.236463861,0.232923255,0.229229674,0.225536093,0.221842512,0.218371118,0.215245349,0.21211958,0.20899381,0.206340345,0.204358048,0.20237575,0.200393453,0.198889128,0.198006166,0.197123204,0.196240241,0.195848967,0.196043036,0.196237105,0.196431174,0.197086171,0.198243999,0.199401826,0.200559654,0.202035911,0.203830595,0.20562528,0.207419965,0.209283214,0.211209314,0.213135414,0.215061515,0.216846303,0.218512391,0.220178478,0.221844565,0.223394909,0.224856219,0.226317529,0.227778839,0.229059237,0.230212325,0.231365414,0.232518503,0.233647002,0.234759694,0.235872385,0.236985077,0.238510628,0.2402782,0.242045771,0.243813343,0.245876967,0.248098486,0.250320005,0.252541524,0.254847663,0.257194748,0.259541834,0.261888919,0.264238974,0.266590329,0.268941684,0.271293038,0.273587808,0.275860286,0.278132764,0.280405243,0.28265173,0.284889045,0.287126359,0.289363674,0.291519604,0.293649957,0.29578031,0.297910663,0.299871198,0.301784562,0.303697927,0.305611291,0.307068749,0.308415311,0.309761873,0.311108436,0.311824413,0.312407636,0.312990858,0.313574081,0.313672811,0.31368458,0.31369635,0.31370812,0.313492222,0.313242173,0.312992125,0.312742076,0.312593702,0.312457728,0.312321753,0.312185778,0.31229746,0.312432727,0.312567995,0.312703263,0.312995587,0.313298868,0.313602149,0.31390543,0.314363968,0.314829563,0.315295158,0.315760753,0.31628783,0.316816273,0.317344715,0.317873158
8,520650,4048830,0.319378217,0.316261339,0.31314446,0.310027582,0.306958285,0.306030125,0.305101964,0.304173804,0.303300127,0.303625087,0.303950047,0.304275006,0.3045492,0.304095741,0.303642283,0.303188825,0.302663821,0.301387583,0.300111345,0.298835107,0.297575049,0.296447663,0.295320277,0.294192891,0.293210017,0.293190554,0.293171091,0.293151628,0.29292499,0.291544087,0.290163184,0.288782281,0.287203724,0.284686311,0.282168898,0.279651485,0.277285716,0.275543373,0.27380103,0.272058687,0.270752149,0.271014507,0.271276866,0.271539224,0.271560414,0.270814251,0.270068088,0.269321924,0.269774348,0.27362277,0.277471191,0.281319612,0.285037409,0.288423619,0.291809829,0.295196039,0.299699836,0.306758115,0.313816394,0.320874674,0.3263049,0.328370485,0.330436069,0.332501654,0.329014041,0.315114181,0.301214322,0.287314462,0.270219858,0.247675394,0.22513093,0.202586467,0.183338645,0.169218932,0.155099219,0.140979506,0.131933327,0.130096905,0.128260484,0.126424062,0.125001193,0.124115943,0.123230693,0.122345442,0.124019753,0.128741161,0.133462569,0.138183977,0.143770249,0.150300011,0.156829772,0.163359534,0.170294241,0.177633895,0.184973548,0.192313201,0.198722552,0.204279124,0.209835697,0.21539227,0.217326831,0.216218902,0.215110974,0.214003045,0.213875572,0.214502296,0.215129019,0.215755743,0.213917005,0.210343312,0.20676962,0.203195927,0.196127075,0.186811334,0.177495593,0.168179852,0.168067311,0.17334975,0.178632189,0.183914628,0.189614036,0.195535826,0.201457617,0.207379408,0.209526649,0.209847497,0.210168344,0.210489191,0.210268714,0.209811408,0.209354102,0.208896796,0.209255758,0.209936281,0.210616805,0.211297328,0.21403728,0.217504089,0.220970897,0.224437706,0.229202982,0.234376348,0.239549714,0.244723079,0.252803785,0.261692086,0.270580387,0.279468687,0.283694813,0.286786897,0.289878981,0.292971065,0.291815713,0.289766164,0.287716615,0.285667066,0.281144308,0.276177641,0.271210973,0.266244306,0.261109104,0.255948622,0.25078814,0.245627657,0.245948846,0.246938531,0.247928215,0.2489179,0.253118169,0.257624207,0.262130246,0.266636284,0.268772981,0.270744375,0.272715768,0.274687162,0.278146682,0.281673843,0.285201005,0.288728166,0.29343278,0.29816356,0.30289434,0.30762512
9,520680,4048830,0.341488181,0.34072157,0.339954959,0.339188348,0.33842182,0.337659046,0.336896272,0.336133497,0.335371429,0.334624887,0.333878344,0.333131802,0.332385481,0.331642332,0.330899183,0.330156034,0.329412505,0.328664993,0.32791748,0.327169968,0.326421322,0.325663383,0.324905444,0.324147504,0.323387566,0.322614298,0.321841031,0.321067763,0.320287858,0.319470971,0.318654085,0.317837198,0.317009077,0.31612759,0.315246103,0.314364617,0.313466134,0.312497778,0.311529422,0.310561066,0.309569395,0.308493791,0.307418186,0.306342582,0.305228823,0.303993663,0.302758502,0.301523342,0.30024265,0.298832953,0.297423255,0.296013558,0.294541046,0.292909084,0.291277122,0.28964516,0.287942501,0.286078248,0.284213996,0.282349743,0.280411423,0.278320032,0.276228641,0.27413725,0.271993757,0.269752573,0.267511389,0.265270205,0.263065819,0.260924205,0.258782592,0.256640978,0.254657873,0.252921337,0.251184801,0.249448265,0.247957107,0.246814644,0.24567218,0.244529717,0.243638803,0.243074903,0.242511003,0.241947103,0.241645316,0.241655567,0.241665819,0.241676071,0.241950545,0.242513262,0.24307598,0.243638697,0.244438586,0.245475647,0.246512707,0.247549768,0.248756283,0.250118133,0.251479983,0.252841833,0.254300786,0.255841306,0.257381825,0.258922345,0.260512133,0.26213982,0.263767507,0.265395194,0.267010189,0.268616254,0.270222318,0.271828383,0.273420151,0.275002729,0.276585307,0.278167885,0.279834301,0.281549863,0.283265425,0.284980987,0.2867297,0.288496094,0.290262487,0.29202888,0.293767083,0.295491644,0.297216206,0.298940767,0.300609285,0.302253285,0.303897284,0.305541283,0.307116615,0.308664897,0.310213178,0.31176146,0.313236265,0.314685138,0.31613401,0.317582882,0.318929467,0.320243904,0.321558342,0.322872779,0.324031479,0.325146919,0.326262359,0.327377799,0.328241034,0.329042922,0.329844809,0.330646697,0.331157003,0.331605924,0.332054844,0.332503764,0.332712978,0.332879166,0.333045355,0.333211544,0.333227436,0.333220784,0.333214132,0.33320748,0.333140585,0.333066343,0.332992101,0.332917859,0.332860728,0.332805227,0.332749725,0.332694224,0.332656869,0.332620781,0.332584692,0.332548604,0.332547529,0.332548047,0.332548564,0.332549081,0.332560062,0.332571276,0.33258249,0.332593704
10,520590,4048800,0.28555745,0.285459765,0.285362079,0.285264394,0.285166724,0.285069751,0.284972777,0.284875804,0.284778913,0.284683841,0.28458877,0.284493698,0.284398851,0.28430723,0.284215609,0.284123988,0.284032791,0.28394604,0.28385929,0.28377254,0.283686437,0.283605649,0.283524861,0.283444073,0.283364169,0.283290159,0.283216149,0.283142139,0.283069279,0.283002824,0.28293637,0.282869916,0.282805008,0.282747446,0.282689883,0.282632321,0.282576778,0.28252954,0.282482301,0.282435062,0.282390379,0.282354892,0.282319405,0.282283919,0.282251558,0.282229143,0.282206728,0.282184314,0.282165698,0.282157848,0.282149997,0.282142147,0.282138711,0.28214648,0.28215425,0.282162019,0.282175007,0.282199921,0.282224835,0.28224975,0.282280542,0.282323484,0.282366425,0.282409366,0.282458933,0.282520924,0.282582916,0.282644907,0.282715028,0.282799019,0.28288301,0.282967001,0.283060999,0.283170564,0.283280129,0.283389694,0.283511048,0.283649152,0.283787257,0.283925361,0.28407656,0.284244782,0.284413004,0.284581225,0.284764137,0.284964538,0.285164938,0.285365338,0.285582361,0.285817519,0.286052676,0.286287833,0.286540966,0.286812074,0.287083183,0.287354291,0.287643893,0.287950447,0.288257001,0.288563555,0.288888697,0.289229455,0.289570212,0.28991097,0.290270862,0.290645473,0.291020084,0.291394695,0.291788264,0.292195174,0.292602083,0.293008993,0.293434878,0.293872961,0.294311043,0.294749126,0.295207293,0.295677233,0.296147173,0.296617113,0.297105138,0.297602809,0.298100479,0.298598149,0.299111388,0.299632161,0.300152934,0.300673707,0.301208052,0.301748335,0.302288619,0.302828902,0.303381011,0.303937779,0.304494548,0.305051316,0.305618095,0.306188409,0.306758722,0.307329035,0.307907143,0.308487701,0.309068259,0.309648817,0.310233951,0.310820357,0.311406762,0.311993168,0.31258029,0.313167587,0.313754884,0.314342181,0.314927742,0.315512938,0.316098134,0.316683331,0.317266505,0.317849317,0.318432128,0.31901494,0.319596365,0.320177581,0.320758797,0.321340014,0.321920908,0.322501764,0.32308262,0.323663475,0.324245034,0.32482666,0.325408286,0.325989912,0.326571821,0.32715375,0.327735678,0.328317607,0.328899898,0.329482206,0.330064513,0.330646821,0.331229122,0.331811424,0.332393725,0.332976027
